@2644289000 [WARNING] cmp = 1; cmd_pkg_id =           0, wr_pkg_id =           0, rd_pkg_id =           0, word_address=     0 : 
index =           0, s_cmp = 1, wr_data = 00000000, rd_data = 00000000 
index =           1, s_cmp = 1, wr_data = 00000000, rd_data = 00000000 
index =           2, s_cmp = 1, wr_data = 00000001, rd_data = 00000001 
index =           3, s_cmp = 1, wr_data = 00000000, rd_data = 00000000 
index =           4, s_cmp = 1, wr_data = 00000010, rd_data = 00000010 
index =           5, s_cmp = 1, wr_data = 00000000, rd_data = 00000000 
index =           6, s_cmp = 1, wr_data = 00000011, rd_data = 00000011 
index =           7, s_cmp = 1, wr_data = 00000000, rd_data = 00000000 
index =           8, s_cmp = 1, wr_data = 00000100, rd_data = 00000100 
index =           9, s_cmp = 1, wr_data = 00000000, rd_data = 00000000 
index =          10, s_cmp = 1, wr_data = 00000101, rd_data = 00000101 
index =          11, s_cmp = 1, wr_data = 00000000, rd_data = 00000000 
index =          12, s_cmp = 1, wr_data = 00000110, rd_data = 00000110 
index =          13, s_cmp = 1, wr_data = 00000000, rd_data = 00000000 
index =          14, s_cmp = 1, wr_data = 00000111, rd_data = 00000111 
index =          15, s_cmp = 1, wr_data = 00000000, rd_data = 00000000 
index =          16, s_cmp = 1, wr_data = 00001000, rd_data = 00001000 
index =          17, s_cmp = 1, wr_data = 00000000, rd_data = 00000000 
index =          18, s_cmp = 1, wr_data = 00001001, rd_data = 00001001 
index =          19, s_cmp = 1, wr_data = 00000000, rd_data = 00000000 
index =          20, s_cmp = 1, wr_data = 00001010, rd_data = 00001010 
index =          21, s_cmp = 1, wr_data = 00000000, rd_data = 00000000 
index =          22, s_cmp = 1, wr_data = 00001011, rd_data = 00001011 
index =          23, s_cmp = 1, wr_data = 00000000, rd_data = 00000000 
index =          24, s_cmp = 1, wr_data = 00001100, rd_data = 00001100 
index =          25, s_cmp = 1, wr_data = 00000000, rd_data = 00000000 
index =          26, s_cmp = 1, wr_data = 00001101, rd_data = 00001101 
index =          27, s_cmp = 1, wr_data = 00000000, rd_data = 00000000 
index =          28, s_cmp = 1, wr_data = 00001110, rd_data = 00001110 
index =          29, s_cmp = 1, wr_data = 00000000, rd_data = 00000000 
index =          30, s_cmp = 1, wr_data = 00001111, rd_data = 00001111 
