@6409423000 [WARNING] CMP : compare=1,wr_pkg =           0, wr_data = 00, wr_parity = 1,rd_pkg =           0, rd_data = 00, rd_parity = 1
@6524003000 [WARNING] CMP : compare=1,wr_pkg =           1, wr_data = 01, wr_parity = 0,rd_pkg =           1, rd_data = 01, rd_parity = 0
@6638583000 [WARNING] CMP : compare=1,wr_pkg =           2, wr_data = 02, wr_parity = 0,rd_pkg =           2, rd_data = 02, rd_parity = 0
@6753163000 [WARNING] CMP : compare=1,wr_pkg =           3, wr_data = 03, wr_parity = 1,rd_pkg =           3, rd_data = 03, rd_parity = 1
@6867743000 [WARNING] CMP : compare=1,wr_pkg =           4, wr_data = 04, wr_parity = 0,rd_pkg =           4, rd_data = 04, rd_parity = 0
@6982323000 [WARNING] CMP : compare=1,wr_pkg =           5, wr_data = 05, wr_parity = 1,rd_pkg =           5, rd_data = 05, rd_parity = 1
@7096903000 [WARNING] CMP : compare=1,wr_pkg =           6, wr_data = 06, wr_parity = 1,rd_pkg =           6, rd_data = 06, rd_parity = 1
@7211483000 [WARNING] CMP : compare=1,wr_pkg =           7, wr_data = 07, wr_parity = 0,rd_pkg =           7, rd_data = 07, rd_parity = 0
@7326063000 [WARNING] CMP : compare=1,wr_pkg =           8, wr_data = 08, wr_parity = 0,rd_pkg =           8, rd_data = 08, rd_parity = 0
@7440643000 [WARNING] CMP : compare=1,wr_pkg =           9, wr_data = 09, wr_parity = 1,rd_pkg =           9, rd_data = 09, rd_parity = 1
@7555223000 [WARNING] CMP : compare=1,wr_pkg =          10, wr_data = 0a, wr_parity = 1,rd_pkg =          10, rd_data = 0a, rd_parity = 1
@7669803000 [WARNING] CMP : compare=1,wr_pkg =          11, wr_data = 0b, wr_parity = 0,rd_pkg =          11, rd_data = 0b, rd_parity = 0
@7784383000 [WARNING] CMP : compare=1,wr_pkg =          12, wr_data = 0c, wr_parity = 1,rd_pkg =          12, rd_data = 0c, rd_parity = 1
@7898963000 [WARNING] CMP : compare=1,wr_pkg =          13, wr_data = 0d, wr_parity = 0,rd_pkg =          13, rd_data = 0d, rd_parity = 0
@8013543000 [WARNING] CMP : compare=1,wr_pkg =          14, wr_data = 0e, wr_parity = 0,rd_pkg =          14, rd_data = 0e, rd_parity = 0
@8128123000 [WARNING] CMP : compare=1,wr_pkg =          15, wr_data = 0f, wr_parity = 1,rd_pkg =          15, rd_data = 0f, rd_parity = 1
@8242703000 [WARNING] CMP : compare=1,wr_pkg =          16, wr_data = 10, wr_parity = 0,rd_pkg =          16, rd_data = 10, rd_parity = 0
@8357283000 [WARNING] CMP : compare=1,wr_pkg =          17, wr_data = 11, wr_parity = 1,rd_pkg =          17, rd_data = 11, rd_parity = 1
@8471863000 [WARNING] CMP : compare=1,wr_pkg =          18, wr_data = 12, wr_parity = 1,rd_pkg =          18, rd_data = 12, rd_parity = 1
@8586443000 [WARNING] CMP : compare=1,wr_pkg =          19, wr_data = 13, wr_parity = 0,rd_pkg =          19, rd_data = 13, rd_parity = 0
@8701023000 [WARNING] CMP : compare=1,wr_pkg =          20, wr_data = 14, wr_parity = 1,rd_pkg =          20, rd_data = 14, rd_parity = 1
@8815603000 [WARNING] CMP : compare=1,wr_pkg =          21, wr_data = 15, wr_parity = 0,rd_pkg =          21, rd_data = 15, rd_parity = 0
@8930183000 [WARNING] CMP : compare=1,wr_pkg =          22, wr_data = 16, wr_parity = 0,rd_pkg =          22, rd_data = 16, rd_parity = 0
@9044763000 [WARNING] CMP : compare=1,wr_pkg =          23, wr_data = 17, wr_parity = 1,rd_pkg =          23, rd_data = 17, rd_parity = 1
